,title,category,price,stars
0,A Light in the Attic,Poetry,51.77,3
1,Tipping the Velvet,Historical Fiction,53.74,1
2,Soumission,Fiction,50.10,1
3,Sharp Objects,Mystery,47.82,4
4,Sapiens: A Brief History of Humankind,History,54.23,5
5,The Requiem Red,Young Adult,22.65,1
6,The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,4
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,3
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.60,4
9,The Black Maria,Poetry,52.15,1
10,"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,2
11,Shakespeare's Sonnets,Poetry,20.66,4
12,Set Me Free,Young Adult,17.46,5
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5
14,Rip it Up and Start Again,Music,35.02,5
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,3
16,Olio,Poetry,23.88,1
17,Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,1
18,Libertarianism for Beginners,Politics,51.33,2
19,It's Only the Himalayas,Travel,45.17,2
20,In Her Wake,Thriller,12.84,1
21,How Music Works,Music,37.32,2
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,30.52,3
23,Chase Me (Paris Nights #2),Romance,25.27,5
24,Black Dust,Romance,34.53,5
25,Birdsong: A Story in Pictures,Childrens,54.64,3
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,22.50,3
27,Aladdin and His Wonderful Lamp,Default,53.13,3
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,40.30,5
29,Wall and Piece,Art,44.18,4
30,The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,17.66,5
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,3
32,The Elephant Tree,Thriller,23.82,5
33,The Bear and the Piano,Childrens,36.89,1
34,Sophie's World,Philosophy,15.94,5
35,Penny Maybe,Default,33.29,3
36,Maude (1883-1993):She Grew Up with the country,Default,18.02,2
37,"In a Dark, Dark Wood",Mystery,19.63,1
38,Behind Closed Doors,Thriller,52.22,4
39,You can't bury them all: Poems,Poetry,33.63,2
40,Slow States of Collapse: Poems,Poetry,57.31,3
41,Reasons to Stay Alive,Nonfiction,26.41,2
42,Private Paris (Private #10),Fiction,47.61,5
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,5
44,Without Borders (Wanderlove #1),New Adult,45.07,2
45,When We Collided,Contemporary,31.77,1
46,"We Love You, Charlie Freeman",Fiction,50.27,5
47,Untitled Collection: Sabbath Poems 2014,Poetry,14.27,4
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,4
49,Unicorn Tracks,Fantasy,18.78,3
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,25.52,1
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,31.12,3
53,This One Summer,Sequential Art,19.49,4
54,Thirst,Fiction,17.27,5
55,The Torch Is Passed: A Harding Family Story,Add a comment,19.09,1
56,The Secret of Dreadwillow Carse,Childrens,56.13,1
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,56.41,1
58,The Past Never Ends,Mystery,56.50,4
59,The Natural History of Us (The Fine Art of Pretending #2),Young Adult,45.22,3
60,The Nameless City (The Nameless City #1),Sequential Art,38.16,4
61,The Murder That Never Was (Forensic Instincts #5),Fiction,54.11,3
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,42.96,4
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,23.89,4
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,16.77,3
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,20.59,5
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,37.13,1
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,56.06,1
68,The Death of Humanity: and the Case for Life,Philosophy,58.11,4
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,49.05,3
70,The Art Forger,Add a comment,40.76,3
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,19.73,1
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,32.24,5
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,41.83,4
74,Soul Reader,Default,39.58,2
75,Security,Horror,39.25,2
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,25.02,3
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,2
78,Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,19.83,2
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.40,3
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,5
81,Princess Between Worlds (Wide-Awake Princess #5),Fantasy,13.34,5
82,"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,1
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,36.28,2
84,Patience,Sequential Art,10.16,3
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,4
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,1
87,Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,46.35,1
88,On a Midnight Clear,Add a comment,14.07,3
89,Obsidian (Lux #1),Young Adult,14.86,2
90,My Paris Kitchen: Recipes and Stories,Food and Drink,33.37,2
91,Masks and Shadows,Fantasy,56.40,2
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,14.02,4
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,2
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,3
